# Residuals  
# Time       	p            	Ux           	Uy           	k            	epsilon      
0.100026     	2.955660e-001	9.204520e-005	3.110060e-004	2.074960e-004	4.053520e-004
0.100051     	5.406770e-002	9.157110e-005	2.900280e-004	2.083230e-004	3.830980e-004
0.100077     	3.437840e-002	1.009860e-004	3.071500e-004	2.069080e-004	3.633980e-004
0.100103     	3.032150e-002	1.028620e-004	3.116590e-004	2.046180e-004	3.438070e-004
